"%1$s incl tax.","%1$s vključno z davkom."
"* Required Fields","* Zahtevana polja"
"-- Select --","-- Izberite --"
"Add New Option","Dodajte novo opcijo"
"Add Selection","Dodajte izbiro"
"As Low as","Nizko kot"
"As low as","Nizko kot"
"Bundle Items","Elementi paketa"
"Bundle Product","Produkt paketa"
"Buy %1$s","Kupite %1$s"
"Buy %1$s for","Kupite %1$s za"
"Buy %1$s for %2$s","Kupite %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kupite %1$s za %2$s (%3$s vključno z davkom) vsakega"
"Buy %1$s for %2$s each","Kupite %1$s za %2$s vsakega"
"Buy %1$s with %2$s discount each","Kupite %1$s z %2$s popustom vsakega"
"Catalog Product View (Bundle)","Pogled kataloga produktov (Paket)"
"Checkbox","Potrditveno polje"
"Choose a selection...","Izberite izbor ..."
"Click for price","Kliknite za ceno"
"Close","Zaprite"
"Default","Privzeto"
"Default Qty","Privzeta količina"
"Default Title","Privzeti naslov"
"Drop-down","Spustni"
"Dynamic","Dinamično"
"Excl. Tax","Brez davka"
"Excl. Tax:","Brez davka:"
"Fixed","Fiksno"
"From","Od"
"From:","Od:"
"Gift Message","Sporočilo darila"
"Incl. Tax","Vključno z davkom"
"Incl. Tax:","Vkjučno z davkom:"
"Input Type","Vrsta vnosa"
"Is Required","Je zahtevano"
"Message:","Sporočilo:"
"Multiple Select","Več izbir"
"N/A","ni na voljo"
"No options of this product are available.","Nobena opcija tega produkta ni na voljo."
"None","Noben"
"Percent","Procent"
"Percent Discount","Popust procenta"
"Please Select Products to Add","Izberite produkte za dodati"
"Please enter a number greater 0 in this field.","Vnesite število večje od 0 v to polje."
"Please enter search conditions to view products.","Vnesite pogoje iskanja za ogled produktov."
"Please select options for product.","Izberite opcije za ta produkt."
"Please specify product option(s).","Določite opcijo(e) produkta."
"Position","Pozicija"
"Price Range","Razpon cene"
"Price Type","Tip cene"
"Price as configured","Cena kot nastavljena"
"Qty:","Količina:"
"Radio Buttons","Radijski gumbi"
"Required options are not selected.","Zahtevane opcije niso izbrane."
"SKU","SKU"
"Selected required options are not available.","Izbrane zahtevane opcije niso na voljo."
"Separately","Ločeno"
"Ship Bundle Items","Dostava elementov paketa"
"Shipment","Dostava"
"Store View Title","Naslov pogleda trgovine"
"There is no defined renderer for ""%s"" option type.","Ni definiranega podabljalnika za vrsto opcije ""%s""."
"This product is also part of bundle(s)","Ta produkt je tudi del paketa(ov)"
"To","Do"
"To:","Do:"
"Together","Skupaj"
"Total incl. Tax: %1$s","Skupaj vključno z davkom: %1$s"
"Use Default Value","Uporabite privzeto vrednost"
"User Defined Qty","Uporabniško definirana količina"
"and","in"
"each","vsak"
"save","shranite"
