"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Captcha razlikuje med malimi in velikimi črkami."
"After number of attempts to login","Po številu poskusov prijave"
"Always","Vedno"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA časovna omejitev (minute)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA za obrazca ""Ustvarite uporabnika"" in ""Pozabljeno geslo"" je vedno omogočena, če je izbrano"
"Case Sensitive","Razlikovanje malih in velikih črk"
"Displaying Mode","Način prikaza"
"Enable CAPTCHA in Admin","Omogočite CAPTCHA v administraciji"
"Enable CAPTCHA on Frontend","Omogočite CAPTCHA v ospredju"
"Font","Črke"
"Forms","Obrazci"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Če je 0 določen, CAPTCHA na prijavnem obrazcu bo vedno na voljo."
"Incorrect CAPTCHA.","Napačna CAPTCHA."
"Number of Symbols","Število simbolov"
"Number of Unsuccessful Attempts to Login","Število neuspešnih poskusov prijave"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Določite največ 8 simbolov. Dovoljeno območje (npr. 3-5)"
"Please type the letters below","Vpišite črke spodaj"
"Please type the letters from the image:","Vpišite črke iz slike:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","V tem polju uporabite samo črke (a-z or A-Z) ali številke (0-9). Presledki ali ostali znaki niso dovoljeni.<br />Podobni znaki (npr. ""i"", ""l"", ""1"") pri kupci zmanjšajo možnost pravilnega prepoznavanja."
"Reload captcha","Osvežite captcha"
"Symbols Used in CAPTCHA","Simboli uporabljeni v CAPTCHA"
