"-- Please Select --","-- Izberite --"
"Add to Cart","Dodaj v košarico"
"Choose an Option...","Izberi možnost ..."
"Configurable Swatches","Nastavljivi vzorci"
"Enabled","Omogočeno"
"General Settings","Splošne nastavitve"
"Height","Višina"
"In Stock","Na zalogi"
"Innermost dimensions, not including border, in pixels","Najgloblje dimenzije brez meje v pikslih"
"Out of Stock","Ni na zalogi"
"Previous","Prejšnja"
"Product Attribute to Use for Swatches in Product Listing","Atribut produkta za uporabo pri vzorcih na seznamu produktov"
"Product Attributes to Show as Swatches in Product Detail","Atributi produkta za prikaz kot vzorci v podrobnostih produkta"
"Remove This Item","Odstrani ta element"
"Swatch Dimensions in Layered Navigation","Dimenzije vzorca v nivojski navigaciji"
"Swatch Dimensions in Product Listing","Dimenzije vzorca v seznamu produktov"
"Swatch Dimensions on Product Detail Page","Dimenzije vzorca na strani podrobnosti produkta"
"Width","Širina"
