"* Select shipping method","* Izberite način dostave"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />Opozorilo: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Opozorilo!</strong> Ta opcija trgovcu onemogoči izračun dostave. S to opcijo Google API ignorira kakršenkoli poskus vpliva na cene dostave."
"A virtual item to reflect the discount total","Virtualni element za odraz skupnega popusta"
"A virtual item to reflect the tax total","Virtualni element za odraz skupnega davka"
"AVS Status: %s","Status AVS: %s"
"Add Shipping Method","Dodaj način dostave"
"Allowed Methods","Dovoljeni načini"
"Amount: %s","Znesek: %s"
"Auto-generated from GoogleCheckout Charge","Avtomatsko generirano iz GoogleCheckout Charge"
"Buyer Account Age: %s days","Starost računa kupca: %s dni"
"CC Partial: xxxx-%s","CC Partial: xxxx-%s"
"CID Status: %s","Status CID: %s"
"Carrier Calculated Methods","Preračunani načini prevoznika"
"Cart Discount","Popust košarice"
"Checkout Image Style","Stil slike naročila"
"Commercial","Komercialno"
"Continue Shopping URL","Nadaljujte nakupovanje na URL"
"Credit memo has been created automatically","Dobropis je bil ustvarjen avtomatično"
"Debug","Razhroščevanje"
"Default Package Height (in)","Privzeta višina paketa (in)"
"Default Package Length (in)","Privzeta dolžina paketa (in)"
"Default Package Width (in)","Priveta širina paketa (in)"
"Default Price for Methods","Privzeta cena za načine"
"Default price:","Privzeta cena:"
"Delivery Address Category","Kategorija naslova dostave"
"Delivery Schedule","Razpored dostave"
"Description-based delivery","Dostava na osnovi opisa"
"Disable Default Tax Tables","Onemogoči tabele privzetega davka"
"Discount Tax","Davek popusta"
"Eligible for Protection: %s","Upravičenost za zaščito: %s"
"Email delivery","Dostava po e-pošti"
"Enable","Omogoči"
"Enable Carrier Calculated","Omogoči Carrier Calculated"
"Enable Digital Delivery","Omogoči digitalno dostavo"
"Enable Flat Rate","Omogoči pavšal"
"Enable Merchant Calculated","Omogoči Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","To omogočite, če je vaš zahtevek nakupa prevelik in je odrezan."
"Expiration: %s","Potek: %s"
"Express Mail","Express Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Finančno: %s -> %s"
"First Overnight","Prvo noč"
"Free Shipping","Brezplačna dostava"
"Fulfillment: %s -> %s","Dobi se: %s -> %s"
"Google API","Google API"
"Google Authorization:","Avtorizacija Google:"
"Google Buyer ID: %s","ID kupca Google: %s"
"Google Charge:","Zaračuna Google:"
"Google Chargeback:","Povračilo Google:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Dostava Google Checkout - Carrier Calculated"
"Google Checkout Shipping - Digital Delivery","Dostava Google Checkout - digitalna dostava"
"Google Checkout Shipping - Flat Rate","Dostava Google Checkout - pavšalno"
"Google Checkout Shipping - Merchant Calculated","Dostava Google Checkout - Merchant Calculated"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Število naročila Google: %s"
"Google Order Status Change:","Sprememba statusa naročila Google:"
"Google Refund:","Povračilo Google:"
"Google Risk Information:","Informacije tveganja Google:"
"GoogleCheckout is not configured","GoogleCheckout ni nastavljen"
"Ground","Po tleh"
"Hide Cart Contents","Skrijte vsebino košarice"
"Home Delivery","Dostava na dom"
"IP Address: %s","Naslov IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Če je omogočeno, bo po kliku na gumb Google Checkout vsebina košarice skrita v košarici in obnovljena, če je aktivirana povezava ""Uredite košarico""."
"Inches","Inči"
"Invoice Auto-Created: %s","Račun avtomatsko generiran: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Ali je kupec pripravljen dobivati marketinško e-pošto: %s"
"Key/URL delivery","Dostava ključ/URL"
"Large - %s","Veliko - %s"
"Latest Charge: %s","Zadnje zaračunano: %s"
"Latest Chargeback: %s","Zadnje povračilo: %s"
"Latest Refund: %s","Zadnje vračilo: %s"
"Location","Lokacija"
"Media Mail","Media Mail"
"Medium - %s","Srednje - %s"
"Merchant ID","ID trgovca"
"Merchant Key","Ključ trgovca"
"Method","Način"
"New Order Status","Status novega naročila"
"Next Day Air","Naslednji dan po zraku"
"Next Day Air Early AM","Naslednji dan po zraku zgodaj zjutraj"
"Next Day Air Saver","Naslednji dan po zraku s prihrankom"
"No","Ne"
"No Comment","Ni komentarja"
"No Reason","Ni razloga"
"Optimistic","Optimistično"
"Optional, leave empty for home page.","Opcijsko, pustite prazno za domačo stran."
"Order creation error","Napaka ustvarjanja naročila"
"Parcel Post","Paketna pošta"
"Pessimistic","Pesimistično"
"Priority Mail","Prioritetna pošta"
"Priority Overnight","Prioritetno čez noč"
"Rate 1 Amount","Znesek Rate 1"
"Rate 1 Ship To Applicable Countries","Dostava Rate 1 za uporabljane države"
"Rate 1 Ship to Specific Countries","Dostava Rate 1 za določene države"
"Rate 1 Title","Naslov Rate 1"
"Rate 2 Amount","Znesek Rate 2"
"Rate 2 Ship To Applicable Countries","Dostava Rate 2 za uporabljane države"
"Rate 2 Ship to Specific Countries","Dostava Rate 2 za določene države"
"Rate 2 Title","Naslov Rate 2"
"Rate 3 Amount","Znesek Rate 3"
"Rate 3 Ship To Applicable Countries","Dostava Rate 3 za uporabljane države"
"Rate 3 Ship to Specific Countries","Dostava Rate 3 za določene države"
"Rate 3 Title","Naslov Rate 3"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Zahtevano za Google Checkout transakcije v živo. Zagotovite, da se ta opcija ujema z uporabo varnih URL-jev v ospredju (""Splet"" > ""Varnost"")."
"Residential","Stanovanjski"
"Sandbox","Sandbox"
"Secure Callback URL","Varni URL povratnih klicev"
"Small - %s","Majhno - %s"
"Standard Overnight","Standardno čez noč"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Znesek davka je bil uporabljen na osnovi informacij prejetih iz Google Checkout, ker je znesek davka pridobljen iz Google Checkout drugačen od izračunanega zneska davka"
"Title","Naslov"
"Total Chargeback: %s","Skupno povračilo: %s"
"Total Charged: %s","Skupaj zaračunano: %s"
"Total Refunded: %s","Skupaj vrnjeno: %s"
"Transparent","Transparentno"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Velika Britanija"
"United States","Združene države Amerike"
"Unknown Reason","Neznani razlog"
"White Background","Belo ozadje"
"Yes","Da"
"You will be redirected to GoogleCheckout in a few seconds.","V nekaj sekundah boste preusmerjeni na GoogleCheckout."
