"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Vse kreditne kartice / Visa, Mastercard, AMEX, JCB, Diners (poganja Moneybookers) - Mednarodno"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (poganja Moneybookers) - Italija"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (poganja Moneybookers) - Francija"
"Customer ID","ID kupca"
"Dankort (powered by Moneybookers) - Denmark","Dankort (poganja Moneybookers) - Danska"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (poganja Moneybookers) - Avstrija"
"Enabled","Omogočeno"
"Find out more about Online Bank Transfer","Izvedite več o Online Bank Transfer"
"Giropay (powered by Moneybookers) - Germany","Giropay (poganja Moneybookers) - Nemčija"
"Laser (powered by Moneybookers) - Ireland","Laser (poganja Moneybookers) - Irska"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (poganja Moneybookers) - Nemčija"
"Loading secure payment page (SSL)","Nalaganje strani varnega plačila (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (poganja Moneybookers) - Velika Britanija, Avstrija, Španija"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Nastavitve Moneybookers"
"Moneybookers Transaction ID: %s","Moneybookers ID transakcije: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Več informacij o Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (poganja Moneybookers) - Finska"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) - Švedska"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (poganja Moneybookers)"
"Order ID","ID naročila"
"POLi (powered by Moneybookers) - Australia","POLi (poganja Moneybookers) - Avstralija"
"Payment failed.","Plačilo ni uspelo."
"Payment from Applicable Countries","Plačilo iz uporabljanih držav"
"Payment from Specific Countries","Plačilo iz določenih držav"
"Payment has not been processed yet.","Plačilo še ni bilo procesirano."
"Payment was canceled.","Plačilo je bilo preklicano."
"Pending bank transfer created.","Ustvarjen bančni prenos na čakanju."
"Please pay your order now","Sedaj plačajte vaše naročilo"
"Postepay (powered by Moneybookers) - Italy","Postepay (poganja Moneybookers) - Italija"
"Powered by Moneybookers","Poganja Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (Poganja Moneybookers) - Poljska"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (poganja Moneybookers) - Nemčija"
"Sort Order","Vrstni red"
"The amount has been authorized and captured by Moneybookers.","Znesek je bil overjen in zajet s strani Moneybookers."
"The customer was redirected to Moneybookers.","Kupec je bila preusmerjen na Moneybookers."
"The order has been canceled.","Naročilo je bilo preklicano."
"Title","Naslov"
"You will be redirected to our secure payment page when you place an order.","Ko oddate naročilo, boste preusmerjeni na našo stran varnega plačila."
"eNETS (powered by Moneybookers) - Singapore","eNETS (poganja Moneybookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (poganja Moneybookers) - Nizozemska"
