"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" ni na voljo v zahtevani količini. %s elementov bo v prednaročilu."
"%s is available for purchase in increments of %s only.","%s je na voljo za nakup samo v korakih po %s."
"%s is not a correct comparsion method.","%s ni pravilna metoda primerjave."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Upoštevajte</strong>, da so te nastavitve uporabljene za elemente linije košarice in ne za celotno košarico."
"Add Minimum Qty","Dodaj najmanjšo količino"
"Allow Qty Below 0","Dovoljena količina pod 0"
"Allow Qty Below 0 and Notify Customer","Dovoljena količina pod 0 in obvestite kupca"
"Automatically Return Credit Memo Item to Stock","Avtomatično vrnite dobropis elementa na zalogi"
"Backorders","Prednaročila"
"By Fixed value","S fiksno vrednostjo"
"By Percentage","S procentom"
"Cannot specify product identifier for the order item.","Za naročeni element ni mogoče določiti identifikatorija produkta."
"Catalog Inventory","Inventar kataloga"
"Decrease Stock When Order is Placed","Zmanjšanje zaloge, ko je naročilo oddano"
"Display Out of Stock Products","Prikaz produktov, ki niso na zalogi"
"Display products availability in stock in the frontend","Prikaz dobavljivosti produktov na zalogi v ospredju"
"Enable Qty Increments","Omogoči povečanje količine"
"In Stock","Na zalogi"
"Index Product Stock Status","Status indeksa zaloge produktov"
"Inventory","Inventar"
"Inventory API","API inventarja"
"Inventory Section","Sekcija inventarja"
"Manage Stock","Upravljaj zalogo"
"Maximum Qty Allowed in Shopping Cart","Največja dovoljena količina v košarici"
"Minimum Qty","Najmanjša količina"
"Minimum Qty Allowed in Shopping Cart","Najmanjša dovoljena količina v košarici"
"Multi update product stock data","Večkratna posodobitev podatkov zaloge produkta"
"No Backorders","Ni prednaročil"
"Not all products are available in the requested quantity","V zahtevani količini niso na voljo vsi produkti"
"Notify for Quantity Below","Obvestite pri količini pod"
"Only %s left","Samo še %s ostalih"
"Only X left Threshold","Samo X ostalih na pragu"
"Out of Stock","Ni zaloge"
"Product Name","Ime produkta"
"Product Stock Options","Opcije zaloge produkta"
"Products will still be shown by direct product URLs.","Produkti bodo še vedno prikazani z direktnimi URL-ji produktov."
"Qty","Količina"
"Qty Increments","Povečanje količine"
"Qty for Item's Status to Become Out of Stock","Količina za status elementa brez zaloge"
"Retrieve stock data","Pridobite podatke zaloge"
"Retrieve stock data by product ids","Pridobite podatke zaloge z id-ji produktov"
"Rule price","Pravilo cene"
"Set Items' Status to be In Stock When Order is Cancelled","Nastavite status elementov, da je na zalogi, ko bo naročilo preklicano"
"Some of the products are currently out of stock.","Nekateri produkti trenutno niso na zalogi."
"Some of the products cannot be ordered in requested quantity.","Nekateri produkti ne morejo biti naročeni v zahtevani količini."
"Some of the products cannot be ordered in the requested quantity.","Nekateri produkti ne morejo biti naročeni v zahtevani količini."
"Stock Options","Opcije zaloge"
"Stock Status","Status zaloge"
"The maximum quantity allowed for purchase is %s.","Največja dovoljena količina za nakup je %s."
"The minimum quantity allowed for purchase is %s.","Najmanjša dovoljena količina za nakup je %s."
"The requested quantity for ""%s"" is not available.","Zahtevana količina za ""%s"" ni na voljo."
"The stock item for Product in option is not valid.","Element zaloge za produkt v opciji ni veljaven."
"The stock item for Product is not valid.","Element zaloge za produkt ni veljaven."
"This product is available for purchase in increments of %s only.","Ta produkt je na voljo za nakup samo v povečanjih po %s."
"This product is currently out of stock.","Ta produkt trenutno ni na zalogi."
"This product is not available in the requested quantity. %s of the items will be backordered.","Ta produkt ni na voljo v zahtevani količini. %s elementov bo v prednaročilu."
"To Fixed Value","Na fiksno vrednost"
"To Percentage","Na procent"
"Undefined product type.","Nedefinirana vrsta produkta."
"Update","Posodobite"
"Update product stock data","Posodobite podatke zaloge produkta"
"Update the Product","Posodobite produkt"
