"%s Index process is working now. Please try run this process later.","Poteka %s indeks procesa. Poskusite pognati ta proces kasneje."
"%s index was rebuilt.","%s indeks je bil ponovno zgrajen."
"'%s' Index Process Information","'%s' indeks informacij procesa"
"Action","Akcija"
"Cannot initialize the indexer process.","Inicializacija procesa indeksiranja ni bila možna."
"Change Index Mode","Spremenite način indeksa"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Kliknite tu, da greste na <a href=""%s"">Upravitelja predpomnilnika</a> in osvežite vrste osveževanja predpomnilnika."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Kliknite tu, da greste na <a href=""%s"">Upravitelja indeksa</a> in ponovno zgradite zahtevane indekse."
"Delete","Izbriši"
"Description","Opis"
"Disable","Onemogoči"
"Enable","Omogoči"
"General","Splošno"
"Index","Indeks"
"Index Description","Opis indeksa"
"Index Management","Upravitelj indeksa"
"Index Mode","Način indeksa"
"Index Name","Ime indeksa"
"Index mode","Način indeksa"
"Indexer code is not defined.","Koda indeksiranja ni bila definirana."
"Indexer model is not defined.","Model indeksiranja ni definiran."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Model indeksiranja bi moral razširiti Mage_Index_Model_Indexer_Abstract."
"Manual Update","Ročna posodobitev"
"Mode","Način"
"Never","Nikoli"
"No","Ne"
"One or more of the Indexes are not up to date:","Eden ali več indeksov ni posodobljenih:"
"Please select Index(es)","Izberite indeks(e)"
"Please select Indexes","Izberite indekse"
"Process Information","Procesiraj informacije"
"Processing","Procesiranje"
"Ready","Pripravljeno"
"Refresh","Osvežite"
"Reindex Data","Ponovno indeksiranje podatkov"
"Reindex Required","Zahtevano ponovno indeksiranje"
"Revoke","Prekliči"
"Status","Status"
"System","Sistem"
"The index has been saved.","Indeks je bil shranjen."
"There was a problem with reindexing process.","Pri ponovnem indeksiranju procesa je prišlo do težave."
"There was a problem with saving process.","Pri shranjevanju procesa je prišlo do težave."
"Total of %d index(es) have changed index mode.","Skupaj %d indeks(ov) ima spremenjeni način indeksiranja."
"Total of %d index(es) have reindexed data.","Skupaj %d indeks(ov) ima ponovno indeksirane podatke."
"Update Required","Zahtevana posodobitev"
"Update on Save","Posodobi pri shranjevanju"
"Updated At","Posodobljeno ob"
"Yes","Da"
