"ALL","VSI"
"ANY","KATERIKOLI"
"Add","Dodaj"
"Apply","Uporabi"
"Conditions Combination","Kombinacija pogojev"
"Customer Groups must be specified.","Skupine kupcev morajo biti določene."
"End Date must be greater than Start Date.","Končni datum mora biti večji od datuma začetka."
"FALSE","NI RES"
"If %s of these conditions are %s:","Če je %s od teh pogojev %s:"
"Invalid discount amount.","Neveljaven znesek popusta."
"Open Chooser","Odpri izbirnik"
"Perform following actions","Izvedi sledeča dejanja"
"Please choose a condition to add...","Izberite pogoj za dodajanje ..."
"Please choose an action to add...","Izberite akcijo za dodajanje ..."
"Remove","Odstrani"
"TRUE","RES JE"
"There is no information about associated entity type ""%s"".","Ni informacij o povezanem tipu entitete ""%s""."
"Websites must be specified.","Spletne strani morajo biti določene."
"by","s strani"
"contains","vsebuje"
"does not contain","ne vsebuje"
"does not contains","ne vsebuje"
"equals or greater than","je enako ali večje od"
"equals or less than","je enako ali manjše od"
"for","za"
"for greater than","za večje od"
"for or greater than","za ali večje od"
"found","najdeno"
"from","od"
"greater than","večje od"
"is","je"
"is not","ni"
"is not one of","ni eden izmed"
"is one of","je eden izmed"
"less than","manj kot"
"not found","ni najdeno"
"not from","ni od"
"to","za"
"was","je bilo"
"was not","ni bilo"
