"Add","Dodajte"
"Add gift message for shopping cart","Dodajte sporočilo darila za košarico"
"Add gift messages for quote item of shopping cart","Dodajte sporočila darila za predračun elementa košarice"
"Add gift messages to products of shopping cart","Dodajte sporočila darila k produktom košarice"
"Add gift options","Dodajte opcije darila"
"Add gift options for Individual Items","Dodajte opcije darila za posamezne elemente"
"Add gift options for the Entire Order","Dodajte opcije darila za celotno naročilo"
"Add gift options.","Dodajte opcije darila."
"Allow Gift Messages for Order Items","Omogočite sporočila darila za naročene elemente"
"Allow Gift Messages on Order Level","Omogočite sporočila darila na nivoju naročila"
"An error occurred while saving the gift message.","Med shranjevanjem sporočila darila je prišlo do napake."
"Are you sure?","Ste prepričani?"
"Cancel","Prekličite"
"Do you have any gift items in your order?","Ali imate kakršnekoli elemente darila v vašem naročilu?"
"Edit","Uredite"
"From","Od"
"Gift Message","Sporočilo darila"
"Gift Message API","API sporočila darila"
"Gift Options","Opcije darila"
"Gift Options for","Opcije darila za"
"Gift Options for Individual Items","Opcije darila za posamezne elemente"
"Gift Options for the Entire Order.","Opcije darila za celotno naročilo."
"Gift Options for this address.","Opcije darila za ta naslov."
"Item %d of %d","Element %d od %d"
"Message","Sporočilo"
"No","Ne"
"OK","V redu"
"Save Gift Message","Shranite sporočilo darila"
"The gift message has been removed","Sporočilo darila je bilo odstranjeno"
"The gift message has been saved","Sporočilo darila je bilo shranjeno"
"The gift message has been saved.","Sporočilo darila je bilo shranjeno."
"To","Za"
"Unknown entity type","Neznani tip entitete"
"Use config","Uporabite nastavitve"
"Yes","Da"
"You can leave this box blank if you do not wish to add a gift message for the item.","Ta prostor lahko pustite prazen, če ne želite dodati sporočilo darila za element."
"You can leave this box blank if you do not wish to add a gift message for this address.","Ta prostor lahko pustite prazen, če ne želite dodati sporočilo darila za ta naslov."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Ta prostor lahko pustite prazen, če ne želite dodati sporočilo darila za celotno naročilo."
