"Active","Aktivno"
"Add Attribute Mapping","Dodajte preslikavo atributa"
"Add New Attribute","Dodajte nov atribut"
"Add to Google Base","Dodajte v bazo Google"
"Are you sure?","Ali ste prepričani?"
"Attribute","Atribut"
"Attribute Set","Nabor atributov"
"Attribute Set and Item Type","Nabor atributov in tip elementa"
"Attributes","Atributi"
"Attributes Mapping","Preslikava atributov"
"Attributes Set","Nabor atributov"
"AuthSub","AuthSub"
"Available Products","Produkti na voljo"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Osnovna valuta bi morala biti nastavljena na %s za %s v sistemu nastavitev. Drugače cene elementa ne bodo pravilne v bazi Google."
"Cannot update Google Base Item for Store '%s'","Posodobitev elementa baze Google ni uspela za trgovino '%s'"
"Captcha confirmation error: %s","Napaka potrditve captche: %s"
"Captcha has been confirmed.","Captcha je bila potrjena."
"Catalog","Katalog"
"Clicks","kliki"
"ClientLogin","Prijava klienta"
"Confirm","Potrditev"
"Current Mapping will be reloaded. Continue?","Trenutna preslikava bo ponovno naložena. Nadaljujem?"
"Custom attribute, no mapping","Atribut po meri brez preslikave"
"Delete","Izbrišite"
"Delete Mapping","Izbrišite preslikavo"
"Edit Item Type","Urejanje tipa elementa"
"Edit Item Type ""%s""","Uredite tip elementa ""%s"""
"Error: %s","Napaka: %s"
"Expires","Poteče"
"Google","Google"
"Google Base","Baza Google"
"Google Base Attribute","Atribut baze Google"
"Google Base ID","ID baze Google"
"Google Base Item Type","Tip elementa baze Google"
"Google Base Item type","Tip elementa baze Google"
"Google Base Items","Elementi baze Google"
"Google base","Baza Google"
"Hide","Skrijte"
"Hosted","Gostovano"
"Hosted or Google","Gostovano ali Google"
"Impr.","Vtisi"
"Invalid Product Model for Google Base Item","Neveljaven model produkta za element baze Google"
"Item Type was deleted","Tip elementa je bil izbrisan"
"Item Types","Tipi elementa"
"Item model is not specified to delete Google Base entry.","Model elementa ni določen za brisanje vnosa baze Google."
"Items","Elementi"
"Manage Attribute Mapping","Upravljajte preslikavo atributa"
"Manage Attributes","Upravljajte atribute"
"Manage Items","Upravljajte elemente"
"New Item Type","Nov tip elementa"
"New ItemType","Nov tip elementa"
"No","Ne"
"No items were deleted from Google Base","Nobenih elementov ni bilo izbrisanih iz baze Google"
"No items were published","Noben element ni bil objavljen"
"No items were saved as inactive items","Nobenih elementov ni bilo shranjenih kot neaktivni elementi"
"No products were added to Google Base","Nobeni produkti niso bili dodani v bazo Google"
"Object model is not specified to save Google Base entry.","Model objekta ni določen za shranjevanje vnosa baze Google."
"Please, select Attribute Set and Google Item Type to load attributes","Izberite nabor atributov in tip elementa Google za nalaganje atributov"
"Product Name","Ime produkta"
"Publish","Objava"
"Published","Objavljeno"
"Remove","Odstranite"
"Save Mapping","Shranite preslikavo"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Med izvažanjem je potekla seja. Prosimo, popravite izvožene produkte in, če je potrebno, ponovite proces."
"Synchronize","Sinhronizirajte"
"Target Country","Ciljna država"
"The item type has been saved.","Tip elementa je bil shranjen."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ta akcija bo posodobila elemente statistike in odstranila elemente, ki niso na voljo v bazi Google. Nadaljujem?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Skupaj od %d element(ov) je bilo izbrisanih; skupaj od %d element(ov) je bilo posodobljenih."
"Total of %d items(s) have been published.","Skupaj od %d element(ov) je bilo objavljenih."
"Total of %d items(s) have been removed from Google Base.","Skupaj od %d element(ov) je bilo odstranjenih iz baze Google."
"Total of %d items(s) have been saved as inactive items.","Skupaj od %d element(ov) je bilo shranjenih kot neaktivni elementi."
"Total of %d product(s) have been added to Google Base.","Skupaj od %d produkt(ov) je bilo dodanih v bazo Google."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Povezava z bazo Google ni uspela. V konfiguraciji preverite nastavitve računa."
"Unable to select a Store View.","Izbira pogleda trgovine ni uspela."
"View Available Products","Poglejte produkte, ki so na voljo"
"View Item in Google Base","Poglejte element v bazi Google"
"Yes","Da"
